codice,nome_da_ricerca,grado_da_ricerca,url
LCMM81801G,A.MANZONI - MERATE,Scuola Secondaria di Primo Grado,https://www.docente.it/scuola/a-manzoni-merate-lcmm81801g
LC1A053008,ENTE EDUCATIVO PER L'INFANZIA DI PAGNANO ETS,Scuola dell'Infanzia,https://www.docente.it/scuola/ente-educativo-per-linfanzia-di-pagnano-ets-merate-lc1a053008
LCTD00101G,FRANCESCO VIGANO',Scuola Secondaria di Secondo Grado,https://www.docente.it/scuola/francesco-vigano-merate-lctd00101g
LCIS001009,FRANCESCO VIGANO MERATE,Scuola Secondaria di Secondo Grado,https://www.docente.it/scuola/francesco-vigano-merate-lcis001009
LCIC81800E,ISTITUTO COMPRENSIVO DI MERATE,,https://www.docente.it/scuola/di-merate-lcic81800e
LCTF00101T,I.T.I.S. DI MERATE,Scuola Secondaria di Secondo Grado,https://www.docente.it/scuola/i-s-di-merate-lctf00101t
LCEE81805R,MERATE OSPEDALE DI ISTITUTO,Scuola Primaria,https://www.docente.it/scuola/merate-ospedale-di-istituto-lcee81805r
LCPS020004,M.G. AGNESI,Scuola Secondaria di Secondo Grado,https://www.docente.it/scuola/m-g-agnesi-merate-lcps020004
LC1A05600Q,SCUOLA DELL'INFANZIA B. VERGINE MARIA - COLLEGIO VILLORESI S.GIUSEPPE SRL,Scuola dell'Infanzia,https://www.docente.it/scuola/scuola-dellinfanzia-b-vergine-maria-collegio-villoresi-s-giuseppe-srl-merate-lc1a05600q
LC1A08400X,SCUOLA DELL'INFANZIA DON ANGELO PEREGO,Scuola dell'Infanzia,https://www.docente.it/scuola/scuola-dellinfanzia-don-angelo-perego-merate-lc1a08400x
LC1A05800B,SCUOLA DELL'INFANZIA DON ERNESTO BORGHI,Scuola dell'Infanzia,https://www.docente.it/scuola/scuola-dellinfanzia-don-ernesto-borghi-merate-lc1a05800b
LCAA81801B,SCUOLA INFANZIA DI MERATE,Scuola dell'Infanzia,https://www.docente.it/scuola/scuola-infanzia-di-merate-lcaa81801b
LCAA81802C,SCUOLA INFANZIA DI SARTIRANA,Scuola dell'Infanzia,https://www.docente.it/scuola/scuola-infanzia-di-sartirana-merate-lcaa81802c
LC1E010008,"SCUOLA PRIMARIA ""B. VERGINE MARIA"" - COLLEGIO VILLORESI S.GIUSEPPE SRL",Scuola Primaria,https://www.docente.it/scuola/scuola-primaria-b-vergine-maria-collegio-villoresi-s-giuseppe-srl-merate-lc1e010008
LCEE81803P,SCUOLA PRIMARIA DI PAGNANO,Scuola Primaria,https://www.docente.it/scuola/scuola-primaria-di-pagnano-merate-lcee81803p
LCEE81804Q,SCUOLA PRIMARIA DI SARTIRANA,Scuola Primaria,https://www.docente.it/scuola/scuola-primaria-di-sartirana-merate-lcee81804q
LCEE81801L,SCUOLA PRIMARIA DI VIA MONTELLO,Scuola Primaria,https://www.docente.it/scuola/scuola-primaria-di-via-montello-merate-lcee81801l
LC1M08000Q,"SCUOLA SECONDARIA I GR. ""B. VERGINE MARIA"" - COLLEGIO VILLORESI S.GIUSEPPE SRL",Scuola Secondaria di Primo Grado,https://www.docente.it/scuola/scuola-secondaria-i-gr-b-vergine-maria-collegio-villoresi-s-giuseppe-srl-merate-lc1m08000q
